s,x,y,z,tx,ty,tz
0.0,1374.0513,582.9380,229.7791,0.3216,0.9137,-0.2483
1.0,1374.3647,583.8561,229.5366,0.3049,0.9225,-0.2366
2.0,1374.6606,584.7831,229.3064,0.2867,0.9316,-0.2236
3.0,1374.9375,585.7192,229.0898,0.2667,0.9408,-0.2093
4.0,1375.1933,586.6647,228.8883,0.2448,0.9501,-0.1934
5.0,1375.4263,587.6194,228.7036,0.2208,0.9594,-0.1758
6.0,1375.6342,588.5833,228.5375,0.1946,0.9684,-0.1562
7.0,1375.8148,589.5560,228.3918,0.1662,0.9769,-0.1347
8.0,1375.9658,590.5367,228.2688,0.1355,0.9845,-0.1111
9.0,1376.0851,591.5246,228.1704,0.1027,0.9910,-0.0853
10.0,1376.1707,592.5183,228.0988,0.0682,0.9960,-0.0576
11.0,1376.2212,593.5160,228.0557,0.0326,0.9991,-0.0283
12.0,1376.2357,594.5157,228.0426,-0.0034,1.0000,0.0022
13.0,1376.2146,595.5153,228.0603,-0.0386,0.9987,0.0332
14.0,1376.1592,596.5125,228.1088,-0.0716,0.9954,0.0637
15.0,1376.0725,597.5055,228.1873,-0.1011,0.9905,0.0928
16.0,1375.9587,598.4933,228.2937,-0.1256,0.9849,0.1195
17.0,1375.8233,599.4753,228.4250,-0.1439,0.9793,0.1427
18.0,1375.6732,600.4521,228.5776,-0.1550,0.9746,0.1616
19.0,1375.5160,601.4250,228.7467,-0.1581,0.9717,0.1757
20.0,1375.3598,602.3961,228.9273,-0.1528,0.9709,0.1845
21.0,1375.2131,603.3676,229.1137,-0.1391,0.9724,0.1876
22.0,1375.0843,604.3415,229.3004,-0.1172,0.9757,0.1849
23.0,1374.9813,605.3194,229.4817,-0.0877,0.9803,0.1767
24.0,1374.9110,606.3022,229.6521,-0.0519,0.9852,0.1634
25.0,1374.8768,607.2893,229.8085,-0.0172,0.9886,0.1493
26.0,1374.8755,608.2790,229.9511,0.0139,0.9906,0.1361
27.0,1374.9036,609.2701,230.0809,0.0418,0.9914,0.1237
28.0,1374.9581,610.2616,230.1987,0.0668,0.9915,0.1120
29.0,1375.0363,611.2529,230.3051,0.0892,0.9909,0.1009
30.0,1375.1358,612.2433,230.4006,0.1094,0.9899,0.0903
31.0,1375.2545,613.2325,230.4859,0.1275,0.9886,0.0803
32.0,1375.3903,614.2204,230.5613,0.1438,0.9871,0.0706
33.0,1375.5416,615.2066,230.6273,0.1585,0.9854,0.0614
34.0,1375.7068,616.1912,230.6841,0.1717,0.9838,0.0524
35.0,1375.8845,617.1742,230.7321,0.1835,0.9821,0.0436
36.0,1376.0733,618.1554,230.7714,0.1940,0.9804,0.0350
